"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_NW0001","ACCT_NW0002","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
256,12/31/2019 0:00:00,136,0,23131094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473223,6296,0,0,0,0,0,0,0,112352,0,212138830,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
258,12/31/2019 0:00:00,137,39087715,16778665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-429,0,0,0,0,0,0,0,0,0,232645843,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
262,12/31/2019 0:00:00,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182666,178644,0,0,0,0,0,0,0,3280,0,60191331,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
264,12/31/2019 0:00:00,141,744000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92487,0,0,0,0,0,0,0,0,0,86299070,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
266,12/31/2019 0:00:00,143,48626583,483503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,0,0,0,0,0,0,0,0,0,0,218409268,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
274,12/31/2019 0:00:00,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741631,0,0,0,0,0,0,0,0,0,0,123041593,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
275,12/31/2019 0:00:00,150,1440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20036077,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
276,12/31/2019 0:00:00,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15391044,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
277,12/31/2019 0:00:00,152,0,29120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2493,0,0,0,0,0,0,0,0,0,1610788,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
287,12/31/2019 0:00:00,154,5424000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12015245,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
288,12/31/2019 0:00:00,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9724677,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
294,12/31/2019 0:00:00,160,0,13441645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1495856,-36601,0,0,0,0,0,0,0,0,0,269542255,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
303,12/31/2019 0:00:00,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114355,26752,0,0,0,0,0,0,0,0,0,78159847,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
306,12/31/2019 0:00:00,168,9789088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69536749,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
319,12/31/2019 0:00:00,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669807,-46202,0,0,0,0,0,0,0,0,0,213188546,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
320,12/31/2019 0:00:00,174,13237075,6413810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85664540,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
327,12/31/2019 0:00:00,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16358,0,0,0,0,0,0,0,0,0,0,7995318,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
339,12/31/2019 0:00:00,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,0,0,0,0,0,0,0,0,0,10196576,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
340,12/31/2019 0:00:00,183,0,27586849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831799,32776,0,0,0,0,0,0,0,0,0,369394015,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
345,12/31/2019 0:00:00,185,420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2664364,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
