"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017"
63856,3/31/2022 0:00:00,18084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,100000,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,239235,0,0,0,0,0,0,0,0,,0,494227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63859,3/31/2022 0:00:00,18087,0,0,703781,656630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86042448,0,0,0,0,0,0,0,0,,0,95306902,0,0,0,0,0,0,0,0,0,0,0,78204,0,0,0,0,0,0,0,0,0
63863,3/31/2022 0:00:00,18091,0,0,45712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240000,5457000,0,0,0,6697000,0,0,0,0,0,0,0,0,0,0,0,0,0,26474569,0,0,0,0,0,0,0,0,,0,28117064,0,0,0,0,0,0,0,0,0,0,0,31758,0,0,0,0,0,0,0,0,0
63868,3/31/2022 0:00:00,18096,0,568730,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5938473,0,0,0,0,0,0,0,0,,0,6989291,0,0,0,0,0,0,0,0,0,0,0,2722,0,0,0,0,0,0,0,0,0
63891,3/31/2022 0:00:00,18119,0,0,5617,5477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5030692,0,0,0,0,0,0,0,0,,0,5598872,0,0,0,0,0,0,0,0,0,0,0,4244,0,0,0,0,0,0,0,0,0
63896,3/31/2022 0:00:00,18124,0,19519143,326392,36464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58770856,0,0,0,0,0,0,0,0,,0,66482137,0,0,0,0,0,0,0,0,0,0,0,27892,0,0,0,0,0,0,0,0,0
63899,3/31/2022 0:00:00,18127,0,0,295659,40728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16758559,0,0,0,0,0,0,0,0,,0,18394985,0,0,0,0,0,0,0,0,0,0,0,5991,0,0,0,0,0,0,0,0,0
63903,3/31/2022 0:00:00,18131,0,0,24917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2986079,0,0,0,0,0,0,0,0,,0,3833576,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,0
63918,3/31/2022 0:00:00,18146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000,2100000,1683000,320000,0,4903000,0,0,0,0,0,0,0,0,0,0,0,0,0,5468405,0,0,0,0,0,0,0,0,,0,6681136,0,0,0,0,0,0,0,0,0,0,0,3130,0,0,0,0,0,0,0,0,0
63923,3/31/2022 0:00:00,18151,0,0,2565213,-609826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5019135,7570481,19658991,2395553,34644160,0,0,0,0,0,0,0,-2182395,0,0,0,0,0,0,0,0,0,0,0,220588771,0,0,0,0,0,0,0,0,,0,235732838,0,0,0,0,0,0,0,0,0,0,0,306300,0,0,0,0,0,0,0,0,0
63932,3/31/2022 0:00:00,18160,0,57291622,6062885,1582204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11778214,50260661,0,0,62038875,0,1986000,6201523,0,0,8187523,0,-3257243,0,0,0,0,0,0,0,0,0,0,0,785315530,15,604922,604622,0,0,0,15,604622,,0,880204968,0,0,0,0,0,0,0,0,0,0,0,1847060,0,0,-532679,0,0,0,0,0,0
63940,3/31/2022 0:00:00,18168,0,0,1120517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642447,2901383,5198422,6481535,988569,17212357,0,0,0,0,0,0,0,-569703,0,0,0,0,0,0,0,0,0,0,0,34540339,0,0,0,0,0,0,0,0,,0,38253569,0,0,0,0,0,0,0,0,0,0,0,129818,0,0,0,0,0,0,0,0,0
63943,3/31/2022 0:00:00,18171,0,0,644472,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,2500000,0,342656,4342656,0,0,0,0,0,0,0,0,0,0,0,0,0,48542231,0,0,0,0,0,0,0,0,,0,54623236,0,0,0,0,0,0,0,0,0,0,0,36447,0,0,0,0,0,0,0,0,0
63958,3/31/2022 0:00:00,18186,0,108825042,3932323,1551378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47992394,109658362,100908990,63877561,0,322437307,0,0,0,0,0,0,0,-15900658,0,0,0,0,0,0,0,0,0,0,0,1177364959,0,0,0,0,0,0,0,0,,0,1281254325,0,0,0,0,0,0,0,0,0,0,0,1051197,0,0,0,0,0,0,0,0,0
63965,3/31/2022 0:00:00,18193,0,0,422731,5555,0,0,0,0,0,0,730478,0,730478,0,0,0,0,0,0,0,0,0,0,0,0,1125000,2385000,3995000,0,0,7505000,0,0,0,0,0,0,0,0,0,0,0,0,0,38195153,0,0,0,0,0,0,0,0,,0,41079878,0,0,0,0,0,0,0,0,0,0,0,58282,0,-34520,0,0,0,0,0,0,0
63971,3/31/2022 0:00:00,18199,0,0,815601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325155,0,0,0,0,325155,735000,3430000,3430000,0,0,7595000,0,-2311,0,0,0,0,0,0,0,0,10196,10196,0,104414186,1,10196,0,0,0,0,1,10196,,0,113896325,0,0,0,0,0,0,0,0,0,0,0,72364,0,0,0,0,0,0,0,0,0
63977,3/31/2022 0:00:00,18205,0,0,397359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39123584,0,0,0,0,0,0,0,0,,0,42006002,0,0,0,0,0,0,0,0,0,0,0,36223,0,0,0,0,0,0,0,0,0
63988,3/31/2022 0:00:00,18216,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246000,1239000,743000,0,0,2228000,0,0,0,0,0,0,0,0,0,0,0,0,0,6618721,0,0,0,0,0,0,0,0,,0,8901314,0,0,0,0,0,0,0,0,0,0,0,13890,0,0,0,0,0,0,0,0,0
63996,3/31/2022 0:00:00,18224,0,10138911,6519495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141820,797744,4832563,2666193,0,10438320,0,0,0,0,0,0,0,-475330,0,0,0,0,0,0,0,0,0,0,0,290744159,0,0,0,0,0,0,0,0,,0,316878872,0,0,0,0,0,0,0,0,0,0,0,780969,0,0,0,14642,2972898,1,1482146,0,0
