"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
95821,12/31/2020 0:00:00,15472,0,2046939,310517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3792390,4618287,1489303,0,0,9899980,0,0,0,0,0,0,230862,116671,0,0,0,0,0,0,0,0,0,0,0,59919024,0,0,0,0,0,0,0,0,,0,67933857,0,0,0,0,0,0,0,0,0,0,0
95826,12/31/2020 0:00:00,19534,0,0,530720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19258423,0,0,0,0,0,0,0,0,,0,24901172,0,0,0,0,0,0,0,0,0,0,0
96066,12/31/2020 0:00:00,24077,0,92467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103497,0,0,0,0,0,0,0,0,,0,324007,0,0,0,0,0,0,0,0,0,0,0
96069,12/31/2020 0:00:00,14577,60432174,71096833,6318921,21367,0,0,0,0,30076036,0,0,0,30076036,0,0,0,0,0,0,0,0,0,0,0,0,30019897,30412277,0,0,0,60432174,4507859,0,76036,0,0,0,0,0,0,0,0,0,0,1075224081,0,0,0,0,0,0,0,0,,0,1171433353,0,0,0,0,0,0,0,0,0,0,0
96071,12/31/2020 0:00:00,24103,0,108438005,4330584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147159455,49462289,29324910,12874865,11668551,250490070,0,0,0,0,0,0,67630,2370589,0,0,0,0,0,0,0,0,0,0,0,832445208,0,0,0,0,0,0,0,0,,0,948904124,0,0,0,0,0,0,0,0,0,0,0
96084,12/31/2020 0:00:00,1621,47835513,53284435,4092339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233843663,28917676,104215214,54089655,7005919,428072127,20387021,16385435,10773109,289948,0,47835513,303887,8428887,0,0,0,0,0,0,0,0,0,0,0,680174268,0,0,0,0,0,0,0,0,,0,772085531,0,0,0,0,0,0,0,0,0,0,0
96652,12/31/2020 0:00:00,25206,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988954,0,0,0,0,0,0,0,0,,0,1129634,0,0,0,0,0,0,0,0,0,0,0
96656,12/31/2020 0:00:00,25210,200000,0,474419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,29568866,0,0,0,0,0,0,0,0,,0,31761117,0,0,0,0,0,0,0,0,0,0,0
96658,12/31/2020 0:00:00,25212,2586151,0,1532758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735475,514892,0,0,0,2250367,996407,1589744,0,0,0,2586151,17710,23522,0,0,0,0,0,0,0,0,0,0,0,136975106,0,0,0,0,0,0,0,0,,0,155239570,0,0,0,0,0,0,0,0,0,0,0
96660,12/31/2020 0:00:00,25214,575000,0,119013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000,300000,0,100000,0,575000,0,0,0,0,0,0,0,0,0,0,0,0,0,2170871,0,0,0,0,0,0,0,0,,0,3139772,0,0,0,0,0,0,0,0,0,0,0
96672,12/31/2020 0:00:00,25226,0,0,2010900,85893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993620,2510191,1006901,0,0,4510712,0,0,0,0,0,0,651114,25840,0,0,0,0,0,0,0,0,0,0,0,82237102,0,0,0,0,0,0,0,0,,0,91945956,0,0,0,0,0,0,0,0,0,0,0
96674,12/31/2020 0:00:00,25228,0,0,874730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31946950,0,0,0,0,0,0,0,0,,0,36481087,0,0,0,0,0,0,0,0,0,0,0
96682,12/31/2020 0:00:00,25236,0,0,727758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2981000,6057332,11983000,0,0,21021332,0,0,0,0,0,0,346086,49332,0,0,0,0,0,0,0,0,0,0,0,46050848,0,0,0,0,0,0,0,0,,0,52878182,0,0,0,0,0,0,0,0,0,0,0
96691,12/31/2020 0:00:00,25245,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504613,0,0,0,0,0,0,0,0,,0,578543,0,0,0,0,0,0,0,0,0,0,0
96699,12/31/2020 0:00:00,25253,741000,0,91148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7412743,8767604,11834506,2006317,0,30021170,0,741000,0,0,0,741000,0,483324,0,0,0,0,0,0,0,0,0,0,0,77296174,0,0,0,0,0,0,0,0,,0,88550590,0,0,0,0,0,0,0,0,0,0,0
96706,12/31/2020 0:00:00,25260,1396000,0,267491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,648000,248000,0,0,1396000,0,0,0,0,0,0,0,0,0,0,0,0,0,15265558,79,2114870,2082527,0,0,0,71,1899246,,0,18053776,0,0,0,0,0,0,0,0,0,0,0
96707,12/31/2020 0:00:00,25261,0,11642858,372409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2398732,1886657,0,0,0,4285389,0,0,0,0,0,0,1093873,29390,0,0,0,0,0,0,0,0,0,0,0,42006166,0,0,0,0,0,0,0,0,,0,49614220,0,0,0,0,0,0,0,0,0,0,0
96711,12/31/2020 0:00:00,25265,4324000,0,284834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042000,2282000,0,0,0,4324000,0,0,0,0,0,0,0,0,0,0,0,0,0,21660605,0,0,0,0,0,0,0,0,,0,26663308,0,0,0,0,0,0,0,0,0,0,0
96718,12/31/2020 0:00:00,25272,0,0,64081,0,0,0,0,0,0,0,157151,0,157151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1581,0,0,0,0,0,0,0,0,0,0,4348165,0,0,0,0,0,0,0,0,,0,5295736,0,0,0,0,0,0,0,0,0,0,0
96719,12/31/2020 0:00:00,25273,448000,0,243344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448000,0,0,0,448000,62781,0,0,0,0,0,0,0,0,0,0,0,0,9773417,0,0,0,0,0,0,0,0,,0,10938909,0,0,0,0,0,0,0,0,0,0,0
