"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_NW0001","ACCT_NW0002","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
153,3/31/2020 0:00:00,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364324,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
159,3/31/2020 0:00:00,83,0,5935794,9677669,0,0,0,0,0,0,0,0,21167129,21167129,0,0,0,0,0,0,67692164,34863091,34781112,72498809,32192696,242027872,0,0,0,0,0,0,2737883,5561182,-4690410,0,0,0,0,0,-800600,184897,0,1083499273,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
162,3/31/2020 0:00:00,85,7590174,10040591,984134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050000,2750000,1840110,1950064,7590174,333696,0,0,0,0,0,0,0,0,0,0,155193590,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
167,3/31/2020 0:00:00,87,0,0,8984469,1300665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4045275,2051630,753953,0,0,6850858,0,0,0,0,0,0,459130,93013,0,0,0,0,0,0,0,0,0,344997638,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
168,3/31/2020 0:00:00,88,0,0,501682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20147,0,0,0,0,0,0,0,0,0,0,31881508,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
169,3/31/2020 0:00:00,89,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365697,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
174,3/31/2020 0:00:00,91,7498553,0,6704911,290993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257960,2251954,0,0,3509914,36096,4608117,2644410,209930,0,7498553,2799681,223412,0,0,0,0,0,0,0,0,0,279583370,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
176,3/31/2020 0:00:00,92,0,238017235,7711899,949719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215541512,212097172,151294246,51424528,10248547,640606005,0,0,0,0,0,0,562560,15932972,0,0,0,0,0,0,0,0,0,1021132768,0,0,0,60,194133,183937,,0,0,0,0,0,0,0,0,0,0,0,0
177,3/31/2020 0:00:00,93,0,45528566,2784762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28879642,80194044,16832457,3016875,0,128923018,0,0,0,0,0,0,390796,1526403,0,0,0,0,0,0,0,0,0,426269706,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
181,3/31/2020 0:00:00,96,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917415,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
